,Series_reference,Data_value,STATUS
0,BDCQ.SEA1AA,80078.0,F
1,BDCQ.SEA1AA,78324.0,F
2,BDCQ.SEA1AA,85850.0,F
3,BDCQ.SEA1AA,90743.0,F
4,BDCQ.SEA1AA,81780.0,F
5,BDCQ.SEA1AA,79261.0,F
6,BDCQ.SEA1AA,87793.0,F
7,BDCQ.SEA1AA,91571.0,F
8,BDCQ.SEA1AA,81687.0,F
9,BDCQ.SEA1AA,81471.0,F
10,BDCQ.SEA1AA,93950.0,F
11,BDCQ.SEA1AA,97208.0,F
12,BDCQ.SEA1AA,85879.0,F
13,BDCQ.SEA1AA,84447.0,F
14,BDCQ.SEA1AA,95075.0,F
15,BDCQ.SEA1AA,98202.0,F
16,BDCQ.SEA1AA,87987.0,F
17,BDCQ.SEA1AA,84529.0,F
18,BDCQ.SEA1AA,96848.0,F
19,BDCQ.SEA1AA,99291.0,F
20,BDCQ.SEA1AA,88716.0,F
21,BDCQ.SEA1AA,85933.0,F
22,BDCQ.SEA1AA,96540.0,F
23,BDCQ.SEA1AA,98994.0,F
24,BDCQ.SEA1AA,90510.0,F
25,BDCQ.SEA1AA,87089.0,F
26,BDCQ.SEA1AA,98933.0,F
27,BDCQ.SEA1AA,101168.0,F
28,BDCQ.SEA1AA,90766.0,F
29,BDCQ.SEA1AA,86929.0,F
30,BDCQ.SEA1AA,100290.0,F
31,BDCQ.SEA1AA,102031.0,F
32,BDCQ.SEA1AA,90836.0,F
33,BDCQ.SEA1AA,88032.0,F
34,BDCQ.SEA1AA,100531.0,F
35,BDCQ.SEA1AA,100947.0,F
36,BDCQ.SEA1AA,93239.0,F
37,BDCQ.SEA1AA,93706.0,R
38,BDCQ.SEA1AA,103593.0,R
39,BDCQ.SEA1AA,102002.0,R
40,BDCQ.SEA1AA,93431.0,R
41,BDCQ.SEA1AA,92353.0,R
42,BDCQ.SEA1AA,102896.0,R
43,BDCQ.SEA1AA,101092.0,R
44,BDCQ.SEA1AA,94757.0,R
45,BDCQ.SEA1AA,91674.0,R
46,BDCQ.SEA1AA,99680.0,R
47,BDCQ.SEA1AA,98706.0,F
48,BDCQ.SEA1AA,92576.0,F
49,BDCQ.SEA1AA,90647.0,F
50,BDCQ.SEA1AA,100561.0,F
51,BDCQ.SEA1AA,100429.0,F
52,BDCQ.SEA1AA,92037.0,F
53,BDCQ.SEA1AS,83851.0,R
54,BDCQ.SEA1AS,84142.0,R
55,BDCQ.SEA1AS,82663.0,R
56,BDCQ.SEA1AS,84321.0,R
57,BDCQ.SEA1AS,85700.0,R
58,BDCQ.SEA1AS,85208.0,R
59,BDCQ.SEA1AS,84420.0,R
60,BDCQ.SEA1AS,85085.0,R
61,BDCQ.SEA1AS,85658.0,R
62,BDCQ.SEA1AS,87742.0,R
63,BDCQ.SEA1AS,90098.0,R
64,BDCQ.SEA1AS,90413.0,R
65,BDCQ.SEA1AS,90030.0,R
66,BDCQ.SEA1AS,91075.0,R
67,BDCQ.SEA1AS,91007.0,R
68,BDCQ.SEA1AS,91515.0,R
69,BDCQ.SEA1AS,92019.0,R
70,BDCQ.SEA1AS,91354.0,R
71,BDCQ.SEA1AS,92546.0,R
72,BDCQ.SEA1AS,92748.0,R
73,BDCQ.SEA1AS,92576.0,R
74,BDCQ.SEA1AS,92920.0,R
75,BDCQ.SEA1AS,92189.0,R
76,BDCQ.SEA1AS,92657.0,R
77,BDCQ.SEA1AS,94320.0,R
78,BDCQ.SEA1AS,94200.0,R
79,BDCQ.SEA1AS,94258.0,R
