Series_reference,Data_value,STATUS
BDCQ.SEA1AA,80078.0,F
BDCQ.SEA1AA,78324.0,F
BDCQ.SEA1AA,85850.0,F
BDCQ.SEA1AA,90743.0,F
BDCQ.SEA1AA,81780.0,F
BDCQ.SEA1AA,79261.0,F
BDCQ.SEA1AA,87793.0,F
BDCQ.SEA1AA,91571.0,F
BDCQ.SEA1AA,81687.0,F
BDCQ.SEA1AA,81471.0,F
BDCQ.SEA1AA,93950.0,F
BDCQ.SEA1AA,97208.0,F
BDCQ.SEA1AA,85879.0,F
BDCQ.SEA1AA,84447.0,F
BDCQ.SEA1AA,95075.0,F
BDCQ.SEA1AA,98202.0,F
BDCQ.SEA1AA,87987.0,F
BDCQ.SEA1AA,84529.0,F
BDCQ.SEA1AA,96848.0,F
BDCQ.SEA1AA,99291.0,F
BDCQ.SEA1AA,88716.0,F
BDCQ.SEA1AA,85933.0,F
BDCQ.SEA1AA,96540.0,F
BDCQ.SEA1AA,98994.0,F
BDCQ.SEA1AA,90510.0,F
BDCQ.SEA1AA,87089.0,F
BDCQ.SEA1AA,98933.0,F
BDCQ.SEA1AA,101168.0,F
BDCQ.SEA1AA,90766.0,F
BDCQ.SEA1AA,86929.0,F
BDCQ.SEA1AA,100290.0,F
BDCQ.SEA1AA,102031.0,F
BDCQ.SEA1AA,90836.0,F
BDCQ.SEA1AA,88032.0,F
BDCQ.SEA1AA,100531.0,F
BDCQ.SEA1AA,100947.0,F
BDCQ.SEA1AA,93239.0,F
BDCQ.SEA1AA,93706.0,R
BDCQ.SEA1AA,103593.0,R
BDCQ.SEA1AA,102002.0,R
BDCQ.SEA1AA,93431.0,R
BDCQ.SEA1AA,92353.0,R
BDCQ.SEA1AA,102896.0,R
BDCQ.SEA1AA,101092.0,R
BDCQ.SEA1AA,94757.0,R
BDCQ.SEA1AA,91674.0,R
BDCQ.SEA1AA,99680.0,R
BDCQ.SEA1AA,98706.0,F
BDCQ.SEA1AA,92576.0,F
BDCQ.SEA1AA,90647.0,F
BDCQ.SEA1AA,100561.0,F
BDCQ.SEA1AA,100429.0,F
BDCQ.SEA1AA,92037.0,F
BDCQ.SEA1AS,83851.0,R
BDCQ.SEA1AS,84142.0,R
BDCQ.SEA1AS,82663.0,R
BDCQ.SEA1AS,84321.0,R
BDCQ.SEA1AS,85700.0,R
BDCQ.SEA1AS,85208.0,R
BDCQ.SEA1AS,84420.0,R
BDCQ.SEA1AS,85085.0,R
BDCQ.SEA1AS,85658.0,R
BDCQ.SEA1AS,87742.0,R
BDCQ.SEA1AS,90098.0,R
BDCQ.SEA1AS,90413.0,R
BDCQ.SEA1AS,90030.0,R
BDCQ.SEA1AS,91075.0,R
BDCQ.SEA1AS,91007.0,R
BDCQ.SEA1AS,91515.0,R
BDCQ.SEA1AS,92019.0,R
BDCQ.SEA1AS,91354.0,R
BDCQ.SEA1AS,92546.0,R
BDCQ.SEA1AS,92748.0,R
BDCQ.SEA1AS,92576.0,R
BDCQ.SEA1AS,92920.0,R
BDCQ.SEA1AS,92189.0,R
BDCQ.SEA1AS,92657.0,R
BDCQ.SEA1AS,94320.0,R
BDCQ.SEA1AS,94200.0,R
BDCQ.SEA1AS,94258.0,R
BDCQ.SEA1AS,94944.0,R
BDCQ.SEA1AS,94735.0,R
BDCQ.SEA1AS,93700.0,R
BDCQ.SEA1AS,95345.0,R
BDCQ.SEA1AS,96206.0,R
BDCQ.SEA1AS,94949.0,R
BDCQ.SEA1AS,94335.0,R
BDCQ.SEA1AS,95429.0,R
BDCQ.SEA1AS,95834.0,R
BDCQ.SEA1AS,97445.0,R
BDCQ.SEA1AS,99652.0,R
BDCQ.SEA1AS,98467.0,R
BDCQ.SEA1AS,97467.0,R
BDCQ.SEA1AS,97322.0,R
BDCQ.SEA1AS,97758.0,R
BDCQ.SEA1AS,98032.0,R
BDCQ.SEA1AS,96984.0,R
BDCQ.SEA1AS,98344.0,R
BDCQ.SEA1AS,96839.0,R
BDCQ.SEA1AS,95202.0,R
BDCQ.SEA1AS,94791.0,R
BDCQ.SEA1AS,95867.0,R
BDCQ.SEA1AS,95763.0,R
BDCQ.SEA1AS,96153.0,R
BDCQ.SEA1AS,96383.0,R
BDCQ.SEA1AS,95312.0,F
BDCQ.SEA1AT,83962.0,R
BDCQ.SEA1AT,83978.0,R
BDCQ.SEA1AT,83924.0,R
BDCQ.SEA1AT,84528.0,R
BDCQ.SEA1AT,85382.0,R
BDCQ.SEA1AT,85195.0,R
BDCQ.SEA1AT,84662.0,R
BDCQ.SEA1AT,84853.0,R
BDCQ.SEA1AT,85867.0,R
BDCQ.SEA1AT,87821.0,R
BDCQ.SEA1AT,89827.0,R
BDCQ.SEA1AT,90364.0,R
BDCQ.SEA1AT,90388.0,R
BDCQ.SEA1AT,90773.0,R
BDCQ.SEA1AT,91172.0,R
BDCQ.SEA1AT,91558.0,R
BDCQ.SEA1AT,91713.0,R
BDCQ.SEA1AT,91789.0,R
BDCQ.SEA1AT,92294.0,R
BDCQ.SEA1AT,92727.0,R
BDCQ.SEA1AT,92758.0,R
BDCQ.SEA1AT,92636.0,R
BDCQ.SEA1AT,92356.0,R
BDCQ.SEA1AT,92875.0,R
BDCQ.SEA1AT,93957.0,R
BDCQ.SEA1AT,94311.0,R
BDCQ.SEA1AT,94403.0,R
BDCQ.SEA1AT,94794.0,R
BDCQ.SEA1AT,94616.0,R
BDCQ.SEA1AT,94465.0,R
BDCQ.SEA1AT,95322.0,R
BDCQ.SEA1AT,95873.0,R
BDCQ.SEA1AT,95074.0,R
BDCQ.SEA1AT,94589.0,R
BDCQ.SEA1AT,95114.0,R
BDCQ.SEA1AT,96025.0,R
BDCQ.SEA1AT,97666.0,R
BDCQ.SEA1AT,99046.0,R
BDCQ.SEA1AT,98654.0,R
BDCQ.SEA1AT,97543.0,R
BDCQ.SEA1AT,97356.0,R
BDCQ.SEA1AT,97698.0,R
BDCQ.SEA1AT,98033.0,R
BDCQ.SEA1AT,98332.0,R
BDCQ.SEA1AT,98117.0,R
BDCQ.SEA1AT,96850.0,R
BDCQ.SEA1AT,95283.0,R
BDCQ.SEA1AT,95006.0,R
BDCQ.SEA1AT,95548.0,R
BDCQ.SEA1AT,95934.0,R
BDCQ.SEA1AT,96189.0,R
BDCQ.SEA1AT,96114.0,R
BDCQ.SEA1AT,95594.0,F
BDCQ.SEA1BA,5234.0,F
BDCQ.SEA1BA,5268.0,F
BDCQ.SEA1BA,5499.0,F
BDCQ.SEA1BA,5811.0,F
BDCQ.SEA1BA,5847.0,F
BDCQ.SEA1BA,5922.0,F
BDCQ.SEA1BA,5722.0,F
BDCQ.SEA1BA,5487.0,F
BDCQ.SEA1BA,5506.0,F
BDCQ.SEA1BA,5540.0,F
BDCQ.SEA1BA,5492.0,F
BDCQ.SEA1BA,6004.0,F
BDCQ.SEA1BA,5886.0,F
BDCQ.SEA1BA,5815.0,F
BDCQ.SEA1BA,5592.0,F
BDCQ.SEA1BA,5300.0,F
BDCQ.SEA1BA,5422.0,F
BDCQ.SEA1BA,5199.0,F
BDCQ.SEA1BA,5060.0,F
BDCQ.SEA1BA,5194.0,F
BDCQ.SEA1BA,5080.0,F
